OBJECTID,PLAN_NUM,PLAN_TITLE,REVIEW_DATE,SUBMIT_DATE,MCP_SIGN_DATE,CCPC_SIGN_DATE,PLAN_ACRES,LOTS_UNITS,BLDG_SQ_FT,PRIMARY_USE,PRIMARY_CODE,PRIMARY_UNITS,PRIMARY_NOTES,SCNDARY_USE,SCNDARY_CODE,SCNDARY_UNITS,TERTIARY_USE,TERTIARY_CODE,TERTIARY_UNITS,EG_ID,LAND_DEV_ID,LAND_DEV_YEAR,DESCRIPTION,PROJECT_NUM,PROJECT_NAME,SHAPEAREA,SHAPELEN
1,LD-01-17-14648,Devon Yard,2017/01/25 00:00:00+00,2016/12/28 00:00:00+00,2017/05/15 00:00:00+00,2017/09/28 00:00:00+00,6.09,3,49220,Commercial,Retail,1,,Commercial,Restaurant,1,Commercial,Unique,1,ed514efd-6431-4fca-b2e3-ae79ba346419,PR-004477-2017,2017,"demolish existing buildings and construct 3 commercial buildings (Restaurant, Retail/Dining and Event Space) and parking",PR-004477-2017,Devon Yard,255887.926544973,3553.5213353354
2,LD-01-17-14651,Ben Fisher Dairy Operation,2017/01/19 13:18:40+00,2016/12/27 00:00:00+00,2017/08/14 00:00:00+00,2017/11/21 00:00:00+00,97.61,3,21517,Commercial,Unique,3,,,,0,,,0,aed96866-7bb6-4a1b-a7f9-256a422c3652,PR-004478-2017,2017,"Proposed Heifer Barn, Feed Building, and Tie-Stall Barn, etc.",PR-004478-2017,Ben Fisher Dairy Operation,4262432.10092919,9314.70448875428
3,LD-01-17-14672,Chatham Financial,2017/02/01 10:30:52+00,2017/01/09 14:17:32+00,2017/04/10 00:00:00+00,2017/05/02 00:00:00+00,15.71,1,0,Commercial,Parking Lot/Garage,1,,,,0,,,0,fc094a52-6dfd-4534-b666-49d1372d5e0a,PR-004488-2017,2017,Parking lot addition of 161 spaces,PR-004488-2017,Chatham Financial,703266.029785868,5012.84597402488
4,LD-01-17-14690,Avon Grove Charter School,2017/02/01 10:10:10+00,2017/01/13 00:00:00+00,2017/04/05 00:00:00+00,2017/05/10 00:00:00+00,21.21,1,7284,Institutional,School,1,,,,0,,,0,59dc4c7e-394c-4c46-8b27-c0746c18149a,PR-004492-2017,2017,"Construct 7,284 SF modular school unit ",PR-004492-2017,Avon Grove Charter School,991161.602694928,4986.97608244696
5,LD-01-17-14693,"Penn Medicine Chester County Hospital, South Entrance Improvements, Amended Site Plan",2017/01/25 00:00:00+00,2017/01/19 00:00:00+00,2017/02/15 00:00:00+00,2017/03/01 00:00:00+00,17.7,1,0,Institutional,Hospital,1,,,,0,,,0,f34c5856-b227-4c84-8b4c-8434c4d18f9a,PROJ-4389,2017,"proposed canopy and other improvements (sidewalks, gates, etc.)",PROJ-4389,Penn Medicine Chester County Hospital Expansion Pr,763214.333886298,4565.07675527559
6,LD-01-17-14698,"Lancaster Chestnut Associates, L.P.",2017/02/13 00:00:00+00,2017/01/25 00:00:00+00,2018/12/20 00:00:00+00,2019/01/24 00:00:00+00,0.82,17,0,Residential,Apartment,17,,,,0,,,0,d1484ebe-a2cd-4eda-8c68-84add9742691,PR-004495-2017,2017,demolish existing dwellings and construct 17 apartments and parking,PR-004495-2017,"Lancaster Chestnut Associates, L.P.  ",35540.0925726953,789.525800557866
7,LD-01-17-14699,951 Howellville Road,2017/02/15 00:00:00+00,2017/01/26 11:03:24+00,,,3.08,20,0,Residential,Townhouse,20,,,,0,,,0,8f667354-86dc-40da-bfa4-995bdfd1655f,PR-004496-2017,2017,Proposed 20 Townhouses,PR-004496-2017,951 Howellville Road,23530.1189044025,669.22355089733
8,LD-01-17-14702,Aldi Store #87 Expansion,2017/02/13 00:00:00+00,2017/01/30 12:44:21+00,2017/12/13 00:00:00+00,2018/02/15 00:00:00+00,5.58,1,1885,Commercial,Addition to Existing,1,,,,0,,,0,fd0e33fa-9d54-4aa0-8a54-4da6e4c2a8fa,PR-004499-2017,2017,"1,885 SF building addition",PR-004499-2017,Aldi Store #87 Expansion,241390.757389265,2740.84933661121
9,LD-01-18-15245,Freddy's Frozen Custard,2018/01/24 00:00:00+00,2018/01/05 13:20:30+00,2018/03/12 00:00:00+00,2018/03/27 00:00:00+00,1.39,1,3386,Commercial,Fast Food,1,,,,0,,,0,cdc2ec3e-9407-4f59-ae2c-9a9fe2f622b0,PR-004722-2018,2018,Proposed building (Freddy's Frozen Custard) and parking,PR-004722-2018,Freddy's Frozen Custard,60941.9361373701,995.900921620696
10,LD-01-18-15251,640 Rice Boulevard - Eagleview Corporate Center,2018/02/09 00:00:00+00,2018/01/16 00:00:00+00,2018/04/09 00:00:00+00,2018/04/30 00:00:00+00,2.94,1,0,Institutional,Child Daycare,1,,,,0,,,0,37ac3191-58a0-4867-bc1a-1d6736e11405,PR-004727-2018,2018,Converting existing building to a day care,PR-004727-2018,640 Rice Boulevard - Eagleview Corporate Center,122574.828888823,1425.08292649255
11,LD-01-18-15253,Airport Diner,2018/02/09 13:20:09+00,2018/01/18 10:25:43+00,,,1.82,1,5170,Commercial,Restaurant,1,,,,0,,,0,6d129144-7049-4cd1-913d-fd4cda51d9c1,PR-004729-2018,2018,proposed building (restaurant) and parking ,PR-004729-2018,Airport Diner,84788.4083130318,1441.40514907451
12,LD-01-18-15255,Citadel Federal Credit Union,2018/01/31 00:00:00+00,2018/01/16 00:00:00+00,2018/10/01 00:00:00+00,2018/10/17 00:00:00+00,11.98,1,2673,Commercial,Bank,1,,,,0,,,0,a2d3ebba-e6fe-492f-be49-392d2f88aece,PR-004730-2018,2018,proposed building and parking,PR-004730-2018,Citadel Federal Credit Union,274325.348578624,3020.2439066453
13,LD-01-18-15264,Multimodal Transportation Center,2018/02/13 00:00:00+00,2018/01/22 14:13:34+00,2018/06/18 00:00:00+00,2018/08/14 00:00:00+00,1.22,1,12865,Institutional,Parking Lot/Garage,1,,,,0,,,0,e29de74d-0e13-4221-aa21-0e19f7c15013,PR-004736-2018,2018,Proposed Parking Garage,PR-004736-2018,Multimodal Transportation Center,54894.0099281165,1190.4298773321
14,LD-01-18-15272,Villa Maria Campus,2018/02/09 00:00:00+00,2018/01/29 13:23:17+00,2018/07/16 00:00:00+00,2018/07/19 00:00:00+00,44.4,1,0,Institutional,Parking Lot/Garage,1,,,,0,,,0,e9bc3aa5-a850-4c4d-b24c-cdd45e54e20b,PR-004741-2018,2018,changes to paving and parking ,PR-004741-2018,Villa Maria Campus,1870240.69774945,7138.80049291597
15,LD-01-18-15273,1723 Vineyards,2018/02/15 12:32:19+00,2018/01/25 00:00:00+00,,,36.37,1,2800,Commercial, ,1,,,,0,,,0,f1180027-5aa6-4edc-b68f-20c40d270fc3,PR-004742-2018,2018,one proposed building and parking,PR-004742-2018,1723 Vineyards,1572498.96408767,7968.9950422513
16,LD-01-18-15274,Taco Bell,2018/02/15 00:00:00+00,2018/01/26 00:00:00+00,2018/11/07 00:00:00+00,2019/06/11 00:00:00+00,2.02,1,2753,Commercial,Fast Food,1,,,,0,,,0,d284e1a3-7b10-4835-976a-ad0f90fc990d,PR-004743-2018,2018,proposed building (Taco Bell) and parking,PR-004743-2018,Taco Bell,92939.9951308811,1547.85240737391
17,LD-01-19-15726,Tasty Baking Oxford,2019/01/16 14:20:35+00,2018/12/28 00:00:00+00,2019/06/17 00:00:00+00,2020/01/29 00:00:00+00,42.55,1,43050,Industrial,Addition to Existing,1,,,,0,,,0,1f9b3fc7-5321-41b7-a5d9-0526bd87f212,PR-004975-2019,2019,proposed building addition (for shipping),PR-004975-2019,Tasty Baking Oxford,1839061.25683905,6075.56515699831
18,LD-01-19-15733,Smucker Fencing,2019/01/23 13:51:26+00,2019/01/09 10:30:53+00,2019/02/13 00:00:00+00,2019/05/24 00:00:00+00,3.65,1,9830,Commercial, ,1,,,,0,,,0,bcb2fa44-45b5-4e69-a203-ed646912e335,PR-004979-2019,2019,Proposed building,PR-004979-2019,Smucker Fencing,160376.768981496,1605.02031685178
19,LD-01-19-15736,Providence Church,2019/02/08 00:00:00+00,2019/01/10 13:58:57+00,2019/05/15 00:00:00+00,2019/08/06 00:00:00+00,2.7,1,11860,Institutional,Addition to Existing,1,,,,0,,,0,731480c7-204d-491c-ae2d-5deb519920e8,PR-004980-2019,2019,2 proposed additions to building,PR-004980-2019,Providence Church,98846.3211716204,1381.31291183194
20,LD-01-19-15742,Landscape Business Development,2019/01/23 13:57:17+00,2019/01/14 13:15:28+00,2019/09/18 00:00:00+00,2019/09/25 00:00:00+00,3.19,1,0,Commercial,Unique,1,,,,0,,,0,357ed171-c399-485e-9953-da7e089793fa,PR-004984-2019,2019,"proposed landscapers yard with storage, parking, lighting, and access drives, etc",PR-004984-2019,Landscape Business Development,117798.566378603,1865.92372111706
21,LD-01-19-15745,Ducklings Early Learning Center,2019/02/14 00:00:00+00,2019/01/23 00:00:00+00,2019/07/16 00:00:00+00,2019/07/17 00:00:00+00,4,1,13815,Institutional,Child Daycare,1,,,,0,,,0,5caa118d-cea0-45e2-b8a8-ce64f01f9160,PR-004986-2019,2019,Proposed building (daycare) and parking,PR-004986-2019,Ducklings Early Learning Center,188163.410010954,1894.39191402473
22,LD-01-19-15748,901 Skelp Level Rd.,2019/02/22 00:00:00+00,2019/01/28 11:45:51+00,2020/06/17 00:00:00+00,2020/07/15 00:00:00+00,6.11,1,50000,Industrial,Warehouse,1,,,,0,,,0,a2a14708-b547-4dbc-a23a-e7eb5b456cff,PR-004989-2019,2019,Proposed building and parking,PR-004989-2019,901 Skelp Level Rd.,257696.827901949,2163.39673880404
23,LD-01-19-15753,Radnor Hunt Indoor Riding Ring,2019/02/27 00:00:00+00,2019/01/30 11:13:57+00,,,8,1,19152,Commercial,Unique,1,,,,0,,,0,553bcc30-1f7b-4702-8802-206b6201cae1,PR-004991-2019,2019,proposed building (Indoor Riding Ring),PR-004991-2019,Radnor Hunt Indoor Riding Ring,336903.236770561,3077.94909722215
24,LD-01-20-16204,Renovate and Expand Amos Hall,2020/01/21 10:25:39+00,2019/12/30 00:00:00+00,,,152.53,1,20000,Institutional,Addition to Existing,1,,,,0,,,0,738797b4-8e31-49ba-a2f7-9a81cbe208bc,PR-005202-2020,2020,building addition,PR-005202-2020,Renovate and Expand Amos Hall,7036177.22306402,16760.6250059624
25,LD-01-20-16208,"DP Fritztown Center, LLC",2020/01/29 00:00:00+00,2020/01/06 00:00:00+00,,,2.06,71,0,Residential,Apartment,71,,,,0,,,0,2f56c502-f065-49f7-a4ba-f02a86625159,PR-005203-2020,2020,71 apartments in 1 building and parking,PR-005203-2020,"DP Fritztown Center, LLC",80491.0691015087,1507.29412018145
26,LD-01-20-16209,Berwyn Sports Club,2020/02/03 00:00:00+00,2020/01/09 00:00:00+00,2020/08/20 00:00:00+00,2021/02/05 00:00:00+00,10.97,1,39636,Commercial,Sports/Recreation ,1,,,,0,,,0,4b97a281-be59-4c2d-84f2-14f1069dff62,PR-005204-2020,2020,"Proposed: 2 buildings (sports & storage), 3 outdoor fields, and parking",PR-005204-2020,Berwyn Sports Club,460078.065419533,2735.70329636697
27,LD-01-20-16210,Enterprise Rent-A-Car,2020/01/21 00:00:00+00,2020/01/14 00:00:00+00,2020/09/23 00:00:00+00,2020/09/28 00:00:00+00,1.15,1,2076,Commercial,,1,,,,0,,,0,9f76abc2-daad-4cc7-963d-e4fce170df73,PR-005206-2020,2020,proposed building (car rental) and parking,PR-005206-2020,Enterprise Rent-A-Car,45071.8520252025,853.096462447149
28,LD-01-20-16224,14 N. Brick Lane,2020/02/21 00:00:00+00,2020/01/29 00:00:00+00,2020/04/21 00:00:00+00,2020/06/11 00:00:00+00,1.35,1,4300,Commercial,Office Building,1,,,,0,,,0,eea00f25-4b96-4cc9-b167-11bc197a6cd6,PR-005209-2020,2020,proposed building (office & storage),PR-005209-2020,14 N. Brick Lane,56601.8544344137,983.921509634494
29,LD-01-20-16227,"Byers Station ""Final Plan for Lot 2A & 2B of Parcel 5C""",2020/02/25 00:00:00+00,2020/01/28 00:00:00+00,2019/09/12 00:00:00+00,2020/11/20 00:00:00+00,13.43,57,26573,Residential,Townhouse,55,,Commercial,Retail,2,,,0,487ef132-149b-4157-a796-9f3617193397,PR-005210-2020,2020,"proposed: 55 Townhouses, 2 buildings (office, retail, and restaurant), roads, and parking",PR-005210-2020,Byers Station (Lot 2A & 2B of Parcel 5C),585310.633025721,3236.37554668276
30,LD-01-21-16591,Church Street Commons ,2021/02/01 15:02:17+00,2021/01/07 08:30:21+00,,,0.9,68,0,Residential,Apartment,68,,,,0,,,0,c4856e9e-aa67-4e7d-81e3-7219a4541a8f,PR-005370-2021,2021,"Development of 0.90 acre site (the former Borough Hall site), into a 4-story 68-unit apartment complex.",PR-005370-2021,Church Street Commons ,39330.6993175361,797.035550796905
31,LD-01-21-16592,Westtown-Thornbury Elementary School,2021/02/01 00:00:00+00,2021/01/07 14:27:43+00,2021/02/16 00:00:00+00,2021/07/09 00:00:00+00,11.08,1,7610,Institutional,School,1,,,,0,,,0,abfe1fa5-8259-45fa-8e2d-a71ef949792b,PR-005371-2021,2021,"proposed 7,610 SF school addition",PR-005371-2021,Westtown Thornbury Elementary School,460355.322297485,2740.66283768056
32,LD-01-21-16597,"Chester Springs Investments, LLC",2021/02/02 00:00:00+00,2021/01/11 13:52:49+00,,,21.346,5,34512,Residential,Single Family Residential,1,,Agricultural,Farm/Pasture Land,4,,,0,932565d4-9c03-4ccc-b87a-b4c965d28b78,PR-005373-2021,2021,"proposed SFR, shed, stable, indoor arena and portable stall",PR-005373-2021,"Chester Springs Investments, LLC",914374.061480019,4479.54517866603
33,LD-01-21-16603,Turnpike Industrial Park,2021/02/12 00:00:00+00,2021/01/14 00:00:00+00,2023/06/12 00:00:00+00,2023/07/06 00:00:00+00,169.4,3,1928880,Industrial,Warehouse,3,,,,0,,,0,09487d10-f6cd-4142-82cb-b5b398b4f7f4,PR-005375-2021,2021,"proposed 3 buildings 1,928,880 SF",PR-005375-2021,Turnpike Industrial Park,6054414.05398862,11381.4142106308
34,LD-01-21-16613,164 Byers Road,2021/02/11 00:00:00+00,2021/01/26 12:20:30+00,2023/11/20 00:00:00+00,2024/03/19 00:00:00+00,0.71,1,4400,Commercial,,1,,,,0,,,0,33fbc78b-a3e0-4e40-a131-2442677c43c0,PR-005380-2021,2021,"proposed 1 commercial, 22 new parking spaces",PR-005380-2021,164 Byers Road,30273.0962324868,711.698306163659
35,LD-01-22-17045,Eagleview Town Center II - Phase II,2022/02/10 00:00:00+00,2022/01/14 15:18:42+00,2022/07/11 00:00:00+00,2022/07/21 00:00:00+00,5.531,82,0,Residential,Apartment,82,,,,0,,,0,11d42e7e-a217-40d3-a1ad-1303935a0876,PR-005315-2020,2022,New apartment building with 82 units,PR-005315-2020,Eagleview Town Center II,194053.545111189,1761.55133671403
36,LD-01-22-17048,1004 Saunders Lane,2022/02/10 12:58:08+00,2022/01/11 09:18:22+00,2023/01/17 00:00:00+00,2023/07/25 00:00:00+00,5.648,1,19325,Commercial,Warehouse,1,,,,0,,,0,9d6bae83-bb90-4624-b7b6-6b738a1f9789,PR-005564-2022,2022,"proposed 19, 325 S.F. warehouse - Building expansion and parking lot revision",PR-005564-2022,1004 Saunders Lane,216451.396215859,2010.29703625892
37,LD-01-22-17049,Alexander Bishop,2022/02/02 08:52:38+00,2022/01/24 10:20:47+00,,,1.9764,1,4048,Commercial,Parking Lot/Garage,1,,,,0,,,0,e31f395a-6883-4a14-9fae-02deb7a38a1e,PR-005565-2022,2022,"proposed 4,048 S.F. garage
140 Graves Road
Oxford, PA 19363",PR-005565-2022,Alexander Bishop,85467.3395539809,1437.36970195999
38,LD-01-22-17053,"Kennett Chicken, LLC",2022/02/09 09:54:10+00,2022/01/31 11:05:17+00,2024/08/12 00:00:00+00,2024/09/05 00:00:00+00,11.34,1,2402,Commercial,Restaurant,1,, , ,0,,,0,0f61a453-6af4-4e33-be61-91988f88ad6a,PR-005568-2022,2022,Construction of Popeyes Restaurant with Drive-Thru,PR-005568-2022,"Kennett Chicken, LLC",461674.377736107,2891.76926477024
39,LD-01-22-17055,"Pothouse-Kimberton, LLC Urgent Care",2022/02/11 11:56:10+00,2022/01/24 14:26:33+00,,,5.305,1,445.6,Commercial,Medical Building,1,,,,0,,,0,c0f7cb83-da5a-451d-a9ff-4baaedbd50a1,PR-005570-2022,2022,Plan for Urgent Care Center,PR-005570-2022,"Pothouse-Kimberton, LLC Urgent Care",222502.558209943,2794.94430693641
40,LD-01-22-17063,11 Senn Drive - Parking Expansion,2022/02/18 08:49:11+00,2022/01/26 10:10:44+00,2022/02/18 00:00:00+00,2023/12/19 00:00:00+00,3.803,1,0,Commercial,Parking Lot/Garage,1,,,,0,,,0,668c939b-e4c8-41a5-b003-c9c4e6f8f061,PR-005573-2022,2022,11 Senn Drive - Parking Expansion Preliminary/Final Land Development Plan,PR-005573-2022,11 Senn Drive,158106.81362369,1709.38789523571
41,LD-01-22-17065,The Willows at Valley Run,2022/02/17 15:56:02+00,2022/01/20 11:32:14+00,2022/09/29 00:00:00+00,2022/09/30 00:00:00+00,15.17,120,0,Residential,Apartment,120,,,,0,,,0,0a141cca-f2d6-4cfd-8c14-fe52728b4740,PR-005572-2022,2022,proposed 5 buildings with 120 total apartments,PR-005572-2022,The Willows at Valley Run,661478.790589419,3747.82989616263
42,LD-01-22-17067,Avon Grove Charter School Early Learning Center,2022/02/11 11:55:56+00,2022/01/20 12:19:38+00,2022/06/01 00:00:00+00,2024/11/22 00:00:00+00,15,1,0,Institutional,Parking Lot/Garage,1,School parking lot,,,0,,,0,3000c492-4d78-4e50-ae80-c18a0e00f47a,PR-004539-2017,2022,add 35 parking spaces,PR-004539-2017,Avon Grove Charter School,605829.310920728,4110.14994462786
43,LD-01-22-17071,Knickerbocker Redevelopment,2022/03/16 09:40:30+00,2022/02/14 11:44:09+00,2023/11/08 00:00:00+00,2023/11/17 00:00:00+00,176.7,280,0,Residential,Townhouse,204,,Residential,Twin,76,,,0,77e8adf9-a2c2-4e90-ae83-915e885d9023,PR-005537-2021,2022,Proposed 204 townhomes and 76 twin units,PR-005537-2021,Knickerbocker Redevelopment,7767377.97136585,15571.010037355
44,LD-01-23-17506,Eagle Animal Hospital,2023/02/01 00:00:00+00,2023/01/09 14:40:46+00,,,1.4,1,1673,Commercial,Unique,1,Animal Hospital,,,0,,,0,9ed74173-cc84-4770-a8d4-5215a9bb597f,PR-005749-2023,2023,"proposed 1,673 SF",PR-005749-2023,Eagle Animal Hospital ,55995.0401673051,915.546114692665
45,LD-01-23-17508,"Benco Associates, LLC",2023/02/01 00:00:00+00,2023/01/09 09:53:33+00,2023/03/16 00:00:00+00,2023/10/30 00:00:00+00,5.29,1,15875,Industrial,Warehouse,1,Bldg. addition,,,0,,,0,ad4fa8bc-9b65-4548-bc6f-726e19e5b0d8,SUB-12150,2023,The project proposes the construction of a building addition and stormwater management basin.,SUB-12150,BENCO PROPERTIES,257601.970020985,2318.74900890678
46,LD-01-23-17509,Independence Park Phase 1 & II,2023/01/25 00:00:00+00,2023/01/06 11:01:13+00,,,96,1,0,Institutional,Park,1,,,,0,,,0,517595a8-8823-4478-b23e-a965b7e5cc57,PR-005751-2023,2023,Proposed Muni Park- Fee waived per Carol Stauffer,PR-005751-2023,Independence Park Phase 1 & II,4141694.54203876,10846.4198694136
47,LD-01-23-17514,6649 Moscow Road,2023/02/01 00:00:00+00,2023/01/10 09:38:43+00,,,6.6,1,26444,Industrial,Warehouse,1,,,,0,,,0,3e17361b-d202-4669-9da0-15473ae76a91,PR-005753-2023,2023,"Construction of a 26,444 square foot, two-floor “flex industrial building” to an existing industrial facility.",PR-005753-2023,6649 Moscow Road,285284.203432018,2788.35559173481
48,LD-01-23-17515,535 North Church Street,2023/02/03 00:00:00+00,2023/01/10 14:20:05+00,2023/03/15 00:00:00+00,2023/06/20 00:00:00+00,2.12,1,0,Commercial,Parking Lot/Garage,1,,,,0,,,0,692e7e65-4a98-438c-9ed8-3a67e12aeee5,PR-005754-2023,2023,Preliminary/Final Land Development plan for the construction of a new parking area with associated stormwater facility.,PR-005754-2023,535 North Church Street,95399.8460742059,1345.77753495287
49,LD-01-23-17516,3982 Lincoln Highway,2023/02/08 00:00:00+00,2023/01/18 16:07:56+00,,,0.932,1,3928,Commercial,Unique,1,farm market,,,0,,,0,f7881a4a-a50d-459a-b183-3e5a7353bb1f,PR-005755-2023,2023,Commercial building addition,PR-005755-2023,3982 Lincoln Highway,41561.7275439568,817.060705440688
50,LD-01-23-17517,Roman Mosaic and Tile Company,2023/03/08 00:00:00+00,2023/02/16 08:49:51+00,,,4,1,10000,Industrial,,1,,,,0,,,0,96ad8475-23fe-45f7-b5ee-17269fe674c5,PR-005756-2023,2023,"Proposed 10,000 SF building",PR-005756-2023,Roman Mosaic and Tile Company,180851.267006908,2127.77137745526
51,LD-01-23-17521,"Traditions of America (603, 604 & 608 E. Reeceville Road)",2023/02/13 00:00:00+00,2023/01/18 14:35:06+00,2026/02/19 00:00:00+00,2026/03/13 00:00:00+00,198.57,268,0,Residential,Single Family Residential,268,,,,0,,,0,ca39241b-1df1-47f8-89d3-b05102e0b96e,PR-005467-2021,2023,268 unit age restricted development with clubhouse,PR-005467-2021,Traditions of America,8650332.16773052,27580.2935627429
52,LD-01-23-17527,Chester County G.O. Carlson Airport,2023/02/09 00:00:00+00,2023/01/18 13:52:09+00,,,359.09,1,4800,Commercial,Unique,1,airport shed,,,0,,,0,160e6947-89dd-403c-8f8b-bb743c811186,PR-005759-2023,2023,"4,800 SF shed, paving and storm water improvements. Preliminary/Final Plan review for Chester County Airport Phase 1 /Accessory to existing commercial use for equipment shed only",PR-005759-2023,Chester County G.O. Carlson Airport,15187920.2438361,28741.2267890575
53,LD-01-23-17542,Proposed Day Care,2023/02/17 00:00:00+00,2023/01/30 07:49:57+00,2024/03/20 00:00:00+00,2024/03/21 00:00:00+00,2.45,2,15000,Commercial,Child Daycare,1,"10,000 SF",Commercial,Retail,1,,,0,d2c779dc-ff41-481b-b49e-1f8ff3ce94e2,PR-005763-2023,2023,"15,000 SF Day Care and Retail, 1 building",PR-005763-2023,Proposed Day Care,218866.241611084,2204.08979224167
54,LD-01-24-17958,"Tel Hai - Residential, Ambulance and Nursing Project",2024/02/05 00:00:00+00,2024/01/22 15:27:51+00,2025/05/01 00:00:00+00,2025/05/12 00:00:00+00,149.1,124,63200,Residential,Townhouse,44,44 cottages,Residential,Apartment,78,Institutional,Nursing Home/Assisted Living,2,43e91652-66a4-4880-ba59-12f113859989,PR-005937-2024,2024,"Proposed construction of a 57,800 square foot nursing wing addition, a 5,400 square foot ambulance center addition, 78 additional apartments in three structures, and 46 separate cottages.",PR-005937-2024,"Tel Hai - Residential, Ambulance & Nursing Project",534297.888789181,3814.7507889671
55,LD-01-24-17959,3766 Horseshoe Pike Land Development,2024/02/05 00:00:00+00,2024/01/22 15:31:04+00,,,1.602,3,6000,Commercial,Unique,1,contractor's shop,Residential,Townhouse,2,,,0,75bbf52e-97fe-44b6-ab90-818214092d8f,PR-005936-2024,2024,"Demolish existing dwelling and construct a 6,000 square foot commercial building, two dwellings and seven parking spaces.",PR-005936-2024,3766 Horseshoe Pike Land Development,67721.4641253391,1408.41258099122
56,LD-01-24-17965,Bush Auto,2024/02/28 00:00:00+00,2024/01/29 11:53:47+00,,,10.49,1,0,Commercial,Retail,1,131 new parking spaces,,,0,,,0,00194ef5-2b14-4288-a976-7efc40859037,PR-005940-2024,2024,Proposed addition of 131 parking spaces,PR-005940-2024,Bush Auto,399754.67664993,2586.88785164463
57,LD-01-24-17966,"PT Phoenixville, LLC",2024/02/09 00:00:00+00,2024/02/05 12:08:18+00,2025/05/22 00:00:00+00,2025/05/23 00:00:00+00,2.7,1,6049,Commercial,Convenience Store,1,,,,0,,,0,ee5c6d7a-bcf1-4951-82a7-2f1a408364fd,PR-005939-2024,2024,"Proposed 6,049 sf Wawa",PR-005939-2024,"PT Phoenixville, LLC",108100.56823952,1368.07332037306
58,LD-01-24-17969,Tara Schlichtig,2024/02/12 00:00:00+00,2024/01/23 16:13:51+00,,,11.939,2,3262,Commercial,Unique,1,Dog grooming bld,Residential,Single Family Residential,1,,,0,4518fffc-e1aa-4708-a3e4-d19b01850aa2,PR-005944-2024,2024,"Development of existing lot, non-residential proposed dog kennel",PR-005944-2024,Tara Schlichtig,563652.338232299,3528.41075653188
59,LD-01-24-17975,440 Highlands Boulevard,2024/02/23 00:00:00+00,2024/01/30 11:38:27+00,,,8.4,2,57600,Industrial,Warehouse,2,,,,0,,,0,10d8d7f8-4529-4b7b-8a31-45681fb37c84,PR-005946-2024,2024,"proposed 57,600 SF warehouse",PR-005946-2024,440 Highlands Boulevard,370254.672732492,2486.79154435279
60,LD-01-25-18370,341 E. Conestoga Road,2025/03/13 00:00:00+00,2025/02/25 08:44:54+00,2025/07/15 00:00:00+00,2025/09/26 00:00:00+00,0.52,1,176,Commercial,Sports/Recreation ,1,3 padel courts,,,0,,,0,90fe9fa2-afe3-45c0-8709-6efa94c73dd3,PR-006121-2025,2025,"The Applicant proposes the construction of 3 outdoor padel courts, a 176 square foot office/administration building,  and 20 parking spaces.",PR-006121-2025,341 E. Conestoga Road,20626.3756808172,638.953467780579
61,LD-01-25-18371,"Access Extension to 47, 49 & 51 Prospect Ave.",2025/02/13 00:00:00+00,2025/01/17 16:19:31+00,,,0.96,1,0,Residential,Single Family Residential,1,Unique - proposed private street,,,0,,,0,0b7da5bb-ea46-4224-9d2e-93811f0a3ec0,PR-006123-2025,2025,Proposal to extend and upgrade Prospect Avenue,PR-006123-2025,"Access Extension to 47, 49 & 51 Prospect Ave",138586.950962846,2472.03283106542
62,LD-01-25-18373,700 Fox Chase Road,2025/02/13 00:00:00+00,2025/01/15 08:54:18+00,2025/11/17 00:00:00+00,2025/12/01 00:00:00+00,3.36,1,1920,Industrial,Addition to Existing,1,,,,0,,,0,5b93ce08-5e94-4fad-9d76-c0603cf40144,PR-005873-2023,2025,"1,900 SF storage area building addition.",PR-005873-2023,700 Fox Chase Road,145022.006069365,1529.09182089492
63,LD-01-25-18391,"CTDI 125,000 SF Warehouse Building",2025/03/06 00:00:00+00,2025/02/25 14:02:12+00,,,35.05,1,125000,Industrial,Warehouse,1,, ,,0,,,0,f7f82cff-6252-41ad-a678-4a0ca5cf243d,PR-006128-2025,2025,"1 building, 125,000 SF and parking proposed. SD & LD plan.  CTDI is proposing to construct a 125,000 s.f. office/warehouse facility, with associated loading area and parking lot on a proposed 11.50-Acre tract in Sadsbury Township.  UPI 37-4-56.38 is currently a vacant 44.55-Acre parcel situated within the Bellaire Business Center, which is Zoned I-1 Light Industrial.",PR-006128-2025,"CTDI 125,000 SF Warehouse Building",1902738.60117723,15812.4343728878
64,LD-01-25-18402,Calvary Chapel Chester Springs,2025/03/05 00:00:00+00,2025/02/07 09:51:07+00,2025/10/13 00:00:00+00,2025/10/21 00:00:00+00,8.07,2,12940,Institutional,Addition to Existing,2,,,,0,,,0,cc754c21-42d4-4a86-a468-2ec95c0b44ec,PR-006129-2025,2025,"2 bldg additions, a covered patio, and parking proposed. SD & LD plan.",PR-006129-2025,Calvary Chapel Chester Springs,346978.307964193,2468.47825907931
65,LD-01-25-18404,Altair Eco Village,2025/03/04 00:00:00+00,2025/02/06 10:30:21+00,,,9.62,30,4700,Residential,Townhouse,29,,Commercial, ,1, , ,0,685bf0b4-fe9a-4251-988d-07c56a18b296,PR-006131-2025,2025,"Proposed: 29 townhouses, 1 clubhouse.  Existing: 1 half of existing twin with frontage on Kimberton Road",PR-006131-2025,Altair Eco Village,409959.153199686,4429.16423187655
