Voltage,Current,Power,Temperature,Humidity,LightIntensity,EnergyGenerated,Fault,FaultType
22.075,1.681,37.098,31.68,93.74,705.12,0.6183,0,Normal
22.67,2.309,52.35,32.49,60.22,856.77,0.8725,0,Normal
21.465,1.964,42.166,17.15,54.1,697.98,0.70277,0,Normal
20.45,1.241,25.379,27.81,53.33,617.62,0.42299,0,Normal
20.844,1.392,29.024,23.31,60.24,565.69,0.48374,0,Normal
19.307,0.505,9.744,34.8,43.09,236.01,0.1624,0,Normal
20.399,1.405,28.653,36.5,60.16,448.44,0.47756,0,Normal
21.025,1.354,28.458,15.0,66.11,521.02,0.4743,0,Normal
23.721,2.486,58.977,28.85,61.77,945.99,0.98294,0,Normal
22.909,2.199,50.386,36.85,66.24,746.21,0.83976,0,Normal
19.147,0.145,2.772,27.69,65.81,156.35,0.0462,0,Normal
22.132,1.673,37.025,34.1,26.11,740.74,0.61709,0,Normal
21.741,1.438,31.271,31.46,69.46,542.18,0.52118,0,Normal
19.931,1.016,20.257,31.39,45.92,460.46,0.33761,0,Normal
22.718,4.325,98.258,27.1,38.27,19.43,1.63763,1,Sensor Anomaly
23.604,2.749,64.896,20.48,38.12,938.68,1.08159,0,Normal
22.695,4.566,103.632,21.15,65.8,33.35,1.7272,1,Sensor Anomaly
19.972,1.288,25.732,33.97,53.99,415.02,0.42887,0,Normal
19.825,1.767,35.037,29.14,27.72,563.42,0.58396,0,Normal
23.719,2.294,54.404,28.03,66.6,742.75,0.90673,0,Normal
22.857,2.198,50.232,26.03,32.09,923.15,0.8372,0,Normal
11.365,1.521,17.29,26.86,60.52,515.83,0.28816,1,Low Voltage
21.332,1.551,33.078,36.33,62.29,598.02,0.5513,0,Normal
20.395,0.816,16.637,26.65,73.94,340.23,0.27729,0,Normal
19.683,0.99,19.49,19.61,90.07,315.06,0.32483,0,Normal
23.18,2.112,48.949,34.21,33.44,877.51,0.81581,0,Normal
24.0,2.557,61.368,27.57,57.06,1029.75,1.0228,0,Normal
22.139,1.866,41.32,29.22,53.03,629.84,0.68867,0,Normal
13.337,2.635,35.142,40.25,65.81,930.99,0.5857,1,Low Voltage
22.153,2.116,46.876,28.86,61.88,751.26,0.78126,0,Normal
20.329,1.144,23.256,31.02,51.65,469.37,0.3876,0,Normal
21.498,2.251,48.383,20.75,50.06,751.19,0.80639,0,Normal
24.0,3.137,75.29,27.46,37.9,1080.65,1.25484,0,Normal
22.391,1.785,39.969,33.27,75.78,639.97,0.66614,0,Normal
24.0,2.866,68.79,18.11,66.27,1088.1,1.1465,0,Normal
18.198,0.05,0.91,30.41,74.52,20.0,0.01517,0,Normal
22.627,2.598,58.779,29.71,52.41,880.13,0.97965,0,Normal
20.751,2.115,43.888,29.29,46.18,674.37,0.73147,0,Normal
21.845,1.5,32.768,36.26,38.59,566.28,0.54614,0,Normal
20.638,1.829,37.747,31.34,64.46,675.69,0.62912,0,Normal
17.964,0.227,4.078,39.35,39.28,93.48,0.06797,0,Normal
21.448,1.705,36.559,22.04,91.28,588.49,0.60932,0,Normal
22.328,1.98,44.204,29.95,34.46,749.99,0.73673,0,Normal
24.0,2.437,58.493,29.59,62.93,1063.81,0.97488,0,Normal
21.213,1.636,34.7,21.52,86.2,504.88,0.57833,0,Normal
18.584,1.49,27.693,35.69,68.78,423.62,0.46154,0,Normal
20.56,1.273,26.174,45.27,61.16,509.51,0.43623,0,Normal
21.78,5.098,111.035,28.88,40.57,63.87,1.85058,1,Sensor Anomaly
22.776,2.03,46.227,32.54,33.13,742.05,0.77044,0,Normal
20.507,2.467,50.58,29.59,71.86,73.88,0.843,1,Sensor Anomaly
21.277,2.405,51.17,24.0,85.11,793.71,0.85283,0,Normal
21.712,1.931,41.921,16.25,50.1,677.18,0.69869,0,Normal
23.152,2.44,56.499,24.06,37.5,921.22,0.94165,0,Normal
21.698,1.043,22.635,19.26,20.0,453.43,0.37725,0,Normal
21.089,1.682,35.463,40.93,40.35,558.25,0.59105,0,Normal
21.403,1.613,34.528,28.19,55.95,540.21,0.57546,0,Normal
20.229,0.862,17.435,26.58,86.78,240.22,0.29059,0,Normal
22.075,1.846,40.759,35.22,70.12,732.91,0.67931,0,Normal
22.963,2.367,54.36,21.15,63.49,723.1,0.90599,0,Normal
22.421,1.514,33.944,23.63,50.8,651.43,0.56573,0,Normal
20.493,1.753,35.921,29.48,47.5,584.32,0.59869,0,Normal
20.273,0.355,7.191,36.2,83.3,253.7,0.11984,0,Normal
20.011,1.331,26.638,32.51,61.61,532.22,0.44397,0,Normal
21.823,1.819,39.695,30.74,20.15,554.04,0.66158,0,Normal
19.377,1.333,25.82,29.55,45.88,425.36,0.43033,0,Normal
21.88,1.578,34.525,31.8,42.55,604.84,0.57542,0,Normal
23.747,2.026,48.112,30.41,48.17,763.13,0.80187,0,Normal
24.0,3.113,74.711,21.79,68.13,1100.0,1.24518,0,Normal
21.906,2.037,44.616,29.32,56.07,698.88,0.7436,0,Normal
22.848,2.258,51.587,21.48,56.62,722.11,0.85979,0,Normal
21.43,1.667,35.734,29.57,81.64,629.16,0.59556,0,Normal
19.933,0.05,0.997,25.64,45.46,112.74,0.01661,0,Normal
21.446,1.769,37.931,46.78,91.56,642.58,0.63218,0,Normal
21.684,1.774,38.478,28.72,45.92,666.86,0.64129,0,Normal
24.0,5.318,127.638,19.17,59.61,29.93,2.12731,1,Sensor Anomaly
20.847,0.555,11.58,28.06,52.94,596.14,0.19299,1,Low Current
21.776,1.994,43.433,32.64,60.22,734.43,0.72388,0,Normal
21.203,1.806,38.287,40.71,66.0,640.28,0.63812,0,Normal
19.598,0.743,14.56,24.87,65.81,322.77,0.24267,0,Normal
23.536,2.832,66.664,17.92,44.44,969.99,1.11107,0,Normal
24.0,2.137,51.296,34.72,37.79,860.54,0.85493,0,Normal
22.649,2.312,52.364,19.34,95.0,871.49,0.87273,0,Normal
20.451,1.062,21.714,25.95,49.29,395.37,0.3619,0,Normal
24.0,3.224,77.369,27.2,70.59,1042.78,1.28948,0,Normal
19.898,0.858,17.081,28.51,29.06,257.48,0.28468,0,Normal
12.958,2.444,31.667,33.82,52.97,814.32,0.52778,1,Low Voltage
24.0,3.339,80.129,46.8,55.71,1100.0,1.33548,1,Over Temperature
20.5,1.689,34.617,27.08,66.51,372.65,0.57696,0,Normal
21.038,1.375,28.936,28.9,20.0,491.44,0.48227,0,Normal
21.76,2.139,46.554,30.05,60.99,677.9,0.7759,0,Normal
19.844,1.598,31.701,29.68,37.3,509.03,0.52835,0,Normal
18.791,0.777,14.604,32.05,63.84,215.81,0.2434,0,Normal
20.965,2.165,45.395,34.91,39.35,669.2,0.75658,0,Normal
19.48,0.902,17.564,31.75,42.6,352.55,0.29274,0,Normal
22.54,2.078,46.836,32.18,53.07,782.61,0.7806,0,Normal
20.783,2.079,43.21,17.92,39.06,18.37,0.72017,1,Sensor Anomaly
24.0,2.982,71.579,29.35,49.44,1083.98,1.19298,0,Normal
20.024,1.25,25.029,32.36,36.52,430.69,0.41715,0,Normal
21.674,1.827,39.606,34.1,25.0,559.82,0.6601,0,Normal
23.502,2.375,55.814,24.15,76.32,877.78,0.93023,0,Normal
20.755,0.801,16.623,24.39,34.67,305.36,0.27706,0,Normal
22.686,2.03,46.047,24.98,54.78,713.69,0.76745,0,Normal
23.196,2.771,64.268,32.75,71.55,1016.0,1.07113,0,Normal
17.712,0.206,3.645,36.24,46.93,199.9,0.06075,0,Normal
22.399,1.857,41.594,26.15,43.15,701.7,0.69324,0,Normal
21.708,2.116,45.935,35.36,62.07,722.77,0.76558,0,Normal
22.406,2.674,59.912,29.86,78.12,868.91,0.99853,0,Normal
18.856,0.638,12.038,28.13,36.95,303.65,0.20063,0,Normal
12.013,0.573,6.885,27.52,55.3,280.27,0.11475,1,Low Voltage
23.602,2.204,52.013,34.23,26.82,796.14,0.86688,0,Normal
21.956,1.66,36.444,31.28,50.92,733.16,0.60741,0,Normal
22.236,1.876,41.714,44.93,58.62,720.14,0.69524,0,Normal
22.46,1.785,40.097,23.03,42.62,747.01,0.66828,0,Normal
19.664,1.519,29.862,32.63,49.77,459.59,0.49769,0,Normal
22.797,1.863,42.465,25.3,32.65,715.03,0.70775,0,Normal
12.699,2.354,29.89,22.91,59.39,732.06,0.49816,1,Low Voltage
20.617,1.453,29.956,28.92,77.0,449.98,0.49926,0,Normal
24.0,2.941,70.578,29.96,38.25,1100.0,1.1763,0,Normal
15.619,1.923,30.035,48.0,46.79,782.67,0.50058,1,Low Voltage
19.09,0.848,16.18,27.71,67.05,316.44,0.26967,0,Normal
23.374,0.281,6.557,21.09,79.82,833.84,0.10929,1,Low Current
19.527,1.109,21.651,30.91,31.12,377.09,0.36086,0,Normal
23.115,2.334,53.946,15.0,54.96,870.38,0.8991,0,Normal
10.923,2.849,31.119,28.36,63.1,974.41,0.51864,1,Low Voltage
21.883,1.217,26.633,29.11,56.16,420.21,0.44389,0,Normal
23.665,2.477,58.62,34.56,20.0,919.75,0.97699,0,Normal
21.786,1.981,43.151,35.82,67.02,765.58,0.71918,0,Normal
22.482,2.429,54.619,25.48,85.35,880.18,0.91032,0,Normal
24.0,2.919,70.064,27.95,60.1,1100.0,1.16774,0,Normal
22.024,1.641,36.151,23.64,39.44,581.29,0.60252,0,Normal
19.407,1.252,24.29,21.1,48.76,438.95,0.40483,0,Normal
20.152,1.159,23.363,31.17,89.86,400.94,0.38939,0,Normal
21.892,1.507,32.992,20.08,74.38,421.57,0.54986,0,Normal
20.949,1.733,36.301,46.81,69.52,628.41,0.60502,1,Over Temperature
22.604,2.278,51.481,22.03,64.42,745.52,0.85802,0,Normal
23.711,2.054,48.709,32.85,46.1,727.47,0.81181,0,Normal
23.317,2.364,55.124,41.61,54.39,881.61,0.91874,0,Normal
22.138,1.823,40.352,19.89,56.6,653.64,0.67254,0,Normal
24.0,2.989,71.731,16.03,67.89,1056.99,1.19552,0,Normal
21.097,1.655,34.921,28.13,85.16,575.9,0.58202,0,Normal
24.0,2.888,69.32,29.11,78.13,1100.0,1.15533,0,Normal
22.533,2.028,45.688,30.53,32.45,825.19,0.76147,0,Normal
19.067,1.264,24.105,25.88,62.03,410.0,0.40175,0,Normal
19.762,1.138,22.495,51.02,71.26,350.15,0.37491,1,Over Temperature
14.388,2.311,33.248,31.57,69.14,785.09,0.55413,1,Low Voltage
21.046,1.645,34.617,36.28,46.67,587.43,0.57695,0,Normal
23.16,2.552,59.116,15.31,95.0,849.92,0.98526,0,Normal
23.498,0.737,17.308,26.42,35.01,782.51,0.28846,1,Low Current
22.127,1.89,41.823,30.5,38.5,629.61,0.69705,0,Normal
20.722,1.006,20.838,22.57,62.2,412.9,0.34731,0,Normal
18.95,0.878,16.637,41.12,95.0,76.48,0.27728,1,Sensor Anomaly
20.42,1.401,28.608,24.55,42.95,524.98,0.4768,0,Normal
21.719,2.474,53.742,28.71,53.22,889.79,0.8957,0,Normal
22.142,1.921,42.529,32.89,77.39,709.95,0.70882,0,Normal
20.367,0.506,10.3,24.86,57.68,301.19,0.17166,0,Normal
22.338,2.292,51.196,16.07,51.98,698.49,0.85327,0,Normal
22.148,2.07,45.837,26.0,68.18,757.89,0.76395,0,Normal
20.46,1.139,23.308,36.21,62.91,402.52,0.38847,0,Normal
22.059,2.16,47.642,26.64,76.55,693.04,0.79403,0,Normal
23.226,1.449,33.653,23.07,81.25,666.3,0.56088,0,Normal
20.581,0.817,16.82,35.48,63.53,329.97,0.28034,0,Normal
23.131,2.026,46.851,26.68,63.25,750.18,0.78086,0,Normal
23.362,2.198,51.341,25.43,61.85,807.02,0.85569,0,Normal
22.69,2.618,59.396,30.05,66.8,953.25,0.98993,0,Normal
23.9,2.869,68.577,34.4,58.99,945.06,1.14295,0,Normal
19.332,0.838,16.204,45.67,57.99,264.25,0.27007,0,Normal
20.504,1.241,25.451,34.79,79.54,387.41,0.42418,0,Normal
22.807,2.192,49.99,37.12,85.29,794.21,0.83316,0,Normal
23.069,1.969,45.431,25.46,30.86,793.86,0.75719,0,Normal
16.335,1.86,30.383,21.82,58.18,794.21,0.50639,1,Low Voltage
24.0,4.451,106.829,29.44,45.6,28.87,1.78049,1,Sensor Anomaly
23.396,2.316,54.189,29.75,52.4,809.85,0.90315,0,Normal
23.567,2.73,64.348,21.45,65.25,967.96,1.07246,0,Normal
11.695,2.519,29.465,27.77,70.05,917.12,0.49108,1,Low Voltage
23.482,2.241,52.614,46.79,55.98,832.39,0.87689,1,Over Temperature
21.462,1.92,41.198,31.52,23.56,561.72,0.68664,0,Normal
24.0,4.01,96.233,32.53,40.63,62.24,1.60389,1,Sensor Anomaly
19.832,1.37,27.172,31.04,74.14,433.61,0.45286,0,Normal
21.15,1.634,34.55,25.45,20.0,583.69,0.57583,0,Normal
21.223,1.428,30.299,25.4,79.37,514.1,0.50498,0,Normal
22.764,2.108,47.995,20.61,67.38,672.92,0.79992,0,Normal
24.0,3.267,78.409,41.49,81.69,1100.0,1.30682,0,Normal
19.561,0.311,6.079,29.09,54.43,127.17,0.10131,0,Normal
22.529,2.493,56.172,27.43,20.89,842.15,0.9362,0,Normal
18.455,0.623,11.501,22.5,65.75,198.44,0.19169,0,Normal
20.748,1.401,29.074,48.0,80.94,517.86,0.48457,0,Normal
23.763,2.725,64.745,21.49,74.64,954.91,1.07909,0,Normal
22.363,1.744,38.996,50.33,46.07,668.0,0.64993,1,Over Temperature
19.897,0.91,18.104,31.91,59.56,348.23,0.30173,0,Normal
20.255,1.139,23.075,33.2,48.41,449.71,0.38458,0,Normal
22.722,2.477,56.288,35.71,43.25,840.29,0.93813,0,Normal
20.277,1.199,24.314,41.65,75.2,445.5,0.40523,0,Normal
21.862,1.734,37.899,32.54,36.44,710.61,0.63165,0,Normal
21.919,1.735,38.029,21.61,41.91,662.76,0.63381,0,Normal
20.468,0.729,14.92,27.2,38.13,467.55,0.24867,0,Normal
24.0,2.963,71.101,31.15,31.18,1100.0,1.18502,0,Normal
22.639,2.26,51.154,43.48,60.64,827.5,0.85256,0,Normal
10.338,0.21,2.169,19.22,78.91,82.96,0.03615,1,Low Voltage
22.015,2.286,50.327,37.42,54.67,702.21,0.83878,0,Normal
20.271,1.394,28.266,30.26,30.9,464.7,0.47109,0,Normal
24.0,2.547,61.127,34.86,73.12,888.68,1.01879,0,Normal
20.776,0.897,18.635,28.29,88.34,428.09,0.31059,0,Normal
22.448,1.669,37.473,23.1,46.37,617.87,0.62455,0,Normal
22.931,2.098,48.1,34.26,49.39,791.4,0.80166,0,Normal
15.511,2.325,36.064,33.58,67.28,892.41,0.60107,1,Low Voltage
19.988,0.721,14.406,35.8,87.19,313.92,0.24011,0,Normal
10.305,1.223,12.605,28.91,48.64,556.34,0.21008,1,Low Voltage
21.364,1.218,26.031,24.8,34.02,517.02,0.43385,0,Normal
20.048,1.479,29.644,18.09,69.37,467.07,0.49407,0,Normal
24.0,3.009,72.223,34.74,72.38,1100.0,1.20372,0,Normal
21.898,2.024,44.322,31.97,58.11,763.39,0.73871,0,Normal
20.101,0.834,16.763,22.24,47.95,296.95,0.27938,0,Normal
23.67,2.749,65.066,25.23,75.9,907.0,1.08443,0,Normal
24.0,3.077,73.857,25.73,67.5,1100.0,1.23095,0,Normal
23.995,2.752,66.032,18.62,44.17,939.09,1.10053,0,Normal
18.966,0.478,9.067,23.28,58.88,224.58,0.15111,0,Normal
21.002,1.338,28.091,21.06,33.67,514.41,0.46818,0,Normal
24.0,2.872,68.935,26.11,70.35,1004.74,1.14891,0,Normal
21.488,1.608,34.554,23.83,53.28,451.85,0.57591,0,Normal
22.028,2.449,53.953,17.61,50.16,774.27,0.89922,0,Normal
21.676,2.466,53.455,43.16,57.41,866.9,0.89091,0,Normal
19.515,1.1,21.459,37.77,58.73,390.46,0.35764,0,Normal
22.568,2.029,45.799,23.55,74.11,633.33,0.76332,0,Normal
18.823,0.199,3.737,30.91,68.64,20.0,0.06229,0,Normal
19.359,0.593,11.489,31.92,55.18,363.17,0.19148,0,Normal
21.382,1.402,29.984,37.34,71.75,579.28,0.49973,0,Normal
21.131,0.905,19.119,23.27,65.21,300.62,0.31865,0,Normal
24.0,2.705,64.909,36.64,50.32,1100.0,1.08182,0,Normal
20.488,0.537,11.003,25.16,55.76,249.56,0.18338,0,Normal
21.994,1.361,29.931,19.65,55.33,526.79,0.49884,0,Normal
21.256,1.85,39.328,34.07,67.09,686.61,0.65547,0,Normal
23.862,2.841,67.782,38.04,51.39,1053.56,1.12971,0,Normal
18.959,0.619,11.74,47.12,50.97,247.96,0.19566,0,Normal
12.81,2.898,37.129,20.6,93.44,975.69,0.61882,1,Low Voltage
22.336,1.756,39.22,33.89,74.92,652.87,0.65367,0,Normal
20.509,0.979,20.088,26.13,44.31,375.18,0.3348,0,Normal
20.384,1.908,38.901,34.48,68.28,779.39,0.64834,0,Normal
21.473,2.179,46.791,18.71,60.13,705.74,0.77985,0,Normal
19.481,1.238,24.125,20.16,65.05,481.94,0.40208,0,Normal
22.176,1.683,37.324,23.57,60.47,669.54,0.62206,0,Normal
21.307,1.546,32.939,29.55,79.41,542.11,0.54898,0,Normal
22.301,1.772,39.525,24.51,64.22,681.78,0.65876,0,Normal
22.126,2.214,48.991,33.61,56.88,835.4,0.81652,0,Normal
24.0,3.059,73.405,36.19,76.76,1094.08,1.22342,0,Normal
20.117,0.78,15.698,33.2,62.2,303.41,0.26163,0,Normal
23.338,3.425,79.939,40.33,60.19,1100.0,1.33232,0,Normal
17.421,0.273,4.758,31.91,63.65,103.42,0.07929,0,Normal
21.758,1.824,39.681,20.48,56.32,607.5,0.66134,0,Normal
23.804,1.885,44.88,38.54,58.17,814.73,0.748,0,Normal
23.568,0.537,12.656,24.76,47.44,728.68,0.21093,1,Low Current
20.989,1.115,23.412,35.37,44.48,475.64,0.3902,0,Normal
20.664,1.448,29.916,40.02,40.03,591.73,0.4986,0,Normal
21.513,1.493,32.114,32.2,32.94,511.96,0.53524,0,Normal
20.755,1.558,32.326,18.53,42.17,484.98,0.53877,0,Normal
22.851,2.557,58.433,22.57,54.86,887.89,0.97389,0,Normal
20.668,2.017,41.693,38.26,59.86,749.96,0.69489,0,Normal
20.737,1.158,24.01,27.82,53.12,455.99,0.40016,0,Normal
22.856,2.708,61.906,52.05,20.0,901.89,1.03177,1,Over Temperature
22.251,2.405,53.513,34.31,86.34,736.04,0.89188,0,Normal
21.434,2.449,52.49,33.87,77.56,877.6,0.87483,0,Normal
22.928,2.462,56.45,30.95,66.02,826.3,0.94083,0,Normal
18.742,1.227,23.004,27.54,92.33,417.88,0.3834,0,Normal
21.675,1.513,32.796,26.81,40.41,493.15,0.5466,0,Normal
23.271,2.16,50.268,35.01,91.98,859.24,0.8378,0,Normal
22.533,2.184,49.202,32.87,40.63,820.9,0.82004,0,Normal
22.204,1.869,41.496,27.2,62.3,644.15,0.69159,0,Normal
21.123,2.097,44.296,36.57,35.07,682.85,0.73826,0,Normal
24.0,2.661,63.872,28.1,58.26,1007.75,1.06453,0,Normal
21.512,0.994,21.387,23.04,64.95,484.36,0.35645,0,Normal
20.686,2.164,44.757,23.69,55.22,803.19,0.74596,0,Normal
21.319,1.85,39.448,22.15,70.85,593.39,0.65747,0,Normal
21.466,1.359,29.174,27.09,59.78,589.05,0.48623,0,Normal
23.293,2.419,56.34,37.64,48.6,957.66,0.93899,0,Normal
24.0,2.501,60.03,23.36,47.8,881.12,1.0005,0,Normal
22.347,2.417,54.019,30.32,72.6,877.78,0.90032,0,Normal
23.673,2.953,69.908,24.4,46.23,1015.53,1.16514,0,Normal
20.54,1.609,33.055,27.18,74.48,655.88,0.55091,0,Normal
24.0,2.319,55.665,18.43,80.01,840.95,0.92774,0,Normal
21.145,1.786,37.766,27.46,27.96,563.13,0.62944,0,Normal
22.072,1.851,40.859,27.64,78.39,740.77,0.68098,0,Normal
21.45,1.964,42.123,32.78,95.0,613.56,0.70205,0,Normal
22.369,1.688,37.761,30.56,62.54,677.16,0.62935,0,Normal
23.253,2.455,57.075,20.61,68.78,816.64,0.95125,0,Normal
22.089,1.091,24.097,36.59,76.67,420.9,0.40162,0,Normal
24.0,2.849,68.367,30.47,53.04,1100.0,1.13945,0,Normal
19.75,0.934,18.436,30.39,61.28,368.32,0.30727,0,Normal
19.369,0.961,18.614,28.94,34.34,310.03,0.31024,0,Normal
23.561,2.725,64.209,25.38,60.5,974.27,1.07015,0,Normal
22.041,2.622,57.785,52.53,66.97,871.67,0.96309,1,Over Temperature
22.793,2.542,57.948,32.33,67.29,824.75,0.96581,0,Normal
23.71,2.128,50.46,16.77,77.18,825.94,0.84099,0,Normal
21.444,1.584,33.96,25.23,44.05,646.57,0.56601,0,Normal
19.772,0.878,17.359,27.22,48.41,398.77,0.28932,0,Normal
22.944,1.701,39.033,52.3,92.12,671.23,0.65055,1,Over Temperature
19.455,1.464,28.482,37.35,55.29,460.39,0.47469,0,Normal
22.126,2.691,59.536,23.6,61.6,923.03,0.99227,0,Normal
20.833,1.605,33.443,53.34,56.79,608.82,0.55738,1,Over Temperature
19.425,1.17,22.728,25.41,43.21,418.86,0.37881,0,Normal
21.671,1.825,39.54,23.39,87.22,560.01,0.659,0,Normal
22.302,2.482,55.356,26.57,48.5,765.62,0.92261,0,Normal
20.564,1.405,28.899,34.4,37.71,492.16,0.48165,0,Normal
21.41,0.703,15.044,21.62,49.89,419.78,0.25073,0,Normal
21.651,2.043,44.242,31.99,21.97,718.23,0.73737,0,Normal
23.052,2.204,50.811,17.09,46.28,718.59,0.84685,0,Normal
22.104,1.463,32.335,25.07,40.57,508.06,0.53892,0,Normal
20.747,1.578,32.735,26.69,69.11,518.11,0.54558,0,Normal
22.413,2.019,45.251,40.72,45.88,714.97,0.75418,0,Normal
19.246,0.46,8.86,27.08,73.98,244.54,0.14766,0,Normal
11.681,0.568,6.632,15.0,83.17,255.91,0.11053,1,Low Voltage
19.843,1.218,24.164,15.01,72.06,448.84,0.40273,0,Normal
20.284,1.834,37.199,29.24,54.12,590.23,0.61998,0,Normal
21.941,1.9,41.693,33.3,60.54,737.05,0.69488,0,Normal
23.591,3.029,71.46,31.63,30.55,1063.1,1.19099,0,Normal
22.85,2.528,57.758,30.17,55.59,890.14,0.96264,0,Normal
21.174,1.949,41.274,37.14,42.51,605.22,0.68791,0,Normal
22.366,1.797,40.192,25.22,70.5,644.68,0.66987,0,Normal
19.674,0.702,13.816,35.26,95.0,369.29,0.23026,0,Normal
21.478,1.942,41.71,17.58,67.0,644.82,0.69517,0,Normal
21.227,1.984,42.118,22.67,22.16,569.18,0.70196,0,Normal
22.12,2.228,49.286,16.35,51.5,740.36,0.82144,0,Normal
19.805,1.026,20.32,27.08,60.2,418.38,0.33867,0,Normal
21.551,2.02,43.537,28.68,59.57,795.42,0.72562,0,Normal
24.0,2.828,67.881,29.8,44.85,1079.17,1.13135,0,Normal
21.208,2.084,44.194,29.43,62.42,619.55,0.73656,0,Normal
23.314,2.084,48.586,22.51,35.63,762.48,0.80976,0,Normal
21.98,2.232,49.066,27.67,40.99,843.24,0.81777,0,Normal
21.009,1.492,31.336,18.52,69.62,537.66,0.52226,0,Normal
23.207,1.898,44.049,38.54,39.72,712.75,0.73415,0,Normal
21.217,2.107,44.701,51.01,67.69,653.53,0.74502,1,Over Temperature
21.884,1.712,37.473,25.58,33.35,677.35,0.62455,0,Normal
19.372,1.399,27.101,40.12,89.77,433.56,0.45168,0,Normal
21.115,1.874,39.572,20.3,44.06,656.86,0.65953,0,Normal
11.042,2.441,26.948,21.12,53.97,789.44,0.44913,1,Low Voltage
24.0,3.259,78.213,21.33,63.95,1056.32,1.30355,0,Normal
23.517,2.574,60.527,28.52,47.82,918.6,1.00878,0,Normal
23.237,2.991,69.499,32.02,60.58,1100.0,1.15831,0,Normal
20.633,1.214,25.038,34.18,68.36,435.14,0.41731,0,Normal
23.626,2.404,56.801,47.0,75.29,894.25,0.94668,0,Normal
23.263,1.695,39.429,15.0,72.25,701.34,0.65715,0,Normal
24.0,3.321,79.711,33.26,54.91,1100.0,1.32851,0,Normal
19.749,1.23,24.298,25.1,55.36,423.68,0.40497,0,Normal
11.852,0.952,11.289,24.9,95.0,414.88,0.18815,1,Low Voltage
21.369,0.979,20.912,24.66,75.1,482.17,0.34853,0,Normal
17.135,0.099,1.698,22.64,41.41,26.44,0.0283,1,Sensor Anomaly
19.837,1.513,30.016,40.79,59.8,502.79,0.50027,0,Normal
20.999,1.095,22.999,34.9,51.97,437.44,0.38332,0,Normal
22.662,1.844,41.787,29.16,55.56,692.11,0.69645,0,Normal
21.054,2.134,44.921,38.46,35.87,745.69,0.74869,0,Normal
24.0,3.018,72.421,18.41,50.59,1100.0,1.20702,0,Normal
23.696,2.684,63.6,19.69,90.61,916.12,1.06,0,Normal
21.728,1.405,30.535,15.0,68.42,488.47,0.50892,0,Normal
19.969,1.102,22.006,24.1,20.0,398.44,0.36676,0,Normal
23.05,1.906,43.923,30.13,79.9,787.74,0.73206,0,Normal
